 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  101  102  103  104  105  106  107  108  109  110  111  112  113  114  115  116  117  118  119  120  121  122  123  124  125  126  127  128  129  130  131  132  133  134  135  136  137  138  139  140  141  142  143  144  145  146  147  148  149  150  151  152  153  154  155  156  157  158  159  160  161  162  163  164  165  166  167  168  169  170  171  172  173  174  175  176  177  178  179  180  181  182  183  184  185  186  187  188  189  190  191  192  193  194  195  196  197  198  199  200  201  202  203  204  205  206  207  208  209  210  211  212  213  214  215  216  217  218  219  220  221  222  223  224  225  226  227  228  229  230  231  232  233  234  235  236  237  238  239  240  241  242  243  244  245  246  247  248  249  250  251  252  253  254  255  256  257  258  259  260  261  262  263  264  265  266  267  268  269  270  271  272  273  274  275  276  277  278  279  280  281  282  283  284  285  286  287  288  289  290  291  292  293  294  295  296  297  298  299  300  301  302  303  304  305  306  307  308  309  310  311  312  313  314  315  316  317  318  319  320  321  322  323  324  325  326  327  328  329  330  331  332  333  334  335  336  337  338  339  340  341  342  343  344  345  346  347  348  349  350  351  352  353  354  355  356  357  358  359  360  361  362  363  364  365  366  367  368  369  370  371  372  373  374  375  376  377  378  379  380  381  382  383  384  385  386  387  388  389  390  391  392  393  394  395  396  397  398  399  400  401  402  403  404  405  406  407  408  409  410  411  412  413  414  415  416  417  418  419  420  421  422  423  424  425  426  427  428  429  430  431  432  433  434  435  436  437  438  439  440  441  442  443  444  445  446  447  448  449  450  451  452  453  454  455  456  457  458  459  460  461  462  463  464  465  466  467  468  469  470  471  472  473  474  475  476  477  478  479  480  481  482  483  484  485  486  487  488  489  490  491  492  493  494  495  496  497  498  499  500  Valor_Jogo  Valor_Jogos
 9 10  7  7 10 24 20 20 22   3  22  18  24   9  14   4  19   4  14  11  16   5   8   1  18   5  17  23  13   6   2   2   7   4  19  18  23  22  15   8  16   7  11   3   9  15  12  11  18   1   9  12  13  23   6  24  13  14   6  18  24   8   2  16  12   8  24  19  24  22  16   8   6  22   3  19  24  22   6  15  22  11  19   2  22   6  18  12   9  18  14  16  24   8   3  19  22   3  24    1    6    8    5    4    8   24   22   12   13   17    3   17    6    9    4   21   23   18   24   11    8   15   22    2    3   21    9    5   18   18   23   20   16   20   12    9   23    6    9    7   14   10    4   12    7   16    7   16    6    5    9    6   20   23   20   18    6    8   23   12   22    2    8    3   24    1    6   21   16   20   15   15   15    8   12   18    3   10   17   11    5   11   20   16   22   22    9    9   10   22   19    6   15    9    6   16    9    8   24   18   22   15   22   11   18    2    4   20   20    2    2    9    9   22   17   24   18   18   18    2    1   13   11   19   20    2   17   14   11    7   20   22    8   23    9   13    9   10    9   17    5    7    2   10    2   13    6   20   13    8   17    2    1   11   20   22   12   14    9   20   14    4    1   24   18   12   22   15   13   15   13   16    5   11    2   11   24   16   10   16    4   15   24   17    4   18    5   15   12   10   23   10   13    2   17   20    4   22   13   11   23   16   14    6   13   10   18    8   15   12    7   14    7   16   22   15   13    8   18   15    5   17    1   19   13    7   16    2   21    4    8   12   21   23    6   23    8   20   13   20    7   11   22   22   23   21   24    8   18    7    3    4    3   22    7   14   23   15   21   17   13   21   19   12    1   23   16    2    9   17    8    5    5   15   24   10   23   14   15   17   21    3   22   16   13   11   22   23   18   19   22   13   17   23    8    1   17    3   17   23    4   21   23   14    3    3   22    9   22    1    7   11   12   10    7   21    4    2   18    3    1    9   16    4    7   24   10    3   18    2   16   14   22    8   12    1   13   20   14    4    7    2   16   24    9   11   17    5    7    5    2    3   23    3   21    3   18   20   11    6   15   11   17   14   12   24   14    6   10    6    1    4   17   18    1   11    3   16    6   10    8   13   23   19   11   20   21   18   14    3   17   19   21    9    6    3    7   15   19   13         2.5       1250.0
 4 24 21  9 20  6 19  3 10   5   5  21   8   7  22   8  23  14  16   8   8  19  18  12   1  11   6  21  24  21  10  14  19  19   7   8  24   4  23  20  15   6  20  23  13   2   6  18  20  14   1  23  23  13   8   4  22  11   8  19   6  11   3  11  15   5  20  10   3   7  10  21  10  12   2   5   4  19  18   1  18  17  17   9  20   8  14  20  21   9  10  13   7  12  23   7   5  17  11   22   24   19   12   18    7   20    2   19    5   18    5   18    9    5   20    7    4    7   10   17   24   19    6   16   23   12   23   13    1    6   12   17   12   12    9   17   16   21   23   13   18   17    6   16   13   20   22   10   17   21   24   12    6    6   21    2   14   14    7   22    2    3    5    9   15    3   23   24   24    9   14   19   23    7    9    1    6    3    2   15    3    2    8    5   19    2    6    7    4    7   14   22   19   19   19    2   13   21   17    8    3   12   23    1   22    1   22   15   14   22    9    3   15    5   19   23    6   19    4   14    8    8    2   23   23   21   13   22    3   20   15   11    4   17    3   19   14   24    4   21   20    8    5   16   10    4    9    1    1    4   10    6   15   13    8   10   22    3   19   21   15    9    6   14   22    2    8    4   18   11   21   19    7    9    1    7    6   19   14   21    9   16   19   19   11   23    8   23   16   12    4    1    9    4   15   12    1   16    6    2   21    5    9   10   22   22   14   21    1    4   13    7    2    5    9   21    3    9    1    8    3   24    9   16   10   23   14   24   14    5    5    6    6   15   16   13   15    6   23   17    3   23    7   17   20   11   23   11    8    6   20    8   15   19    1   13    4   13   19   13   17    7   21   15   16    7   12   13    5    4   13   18   19   10    2   20   22    7   13   13   11   13   18    4    5    2    2    9    6   13    5    8    8   17    7   24   13    5   20    7    5    9   22   16   20   12   23   16   20   10   24   21   11    9   21    7    6   22   14    6    9    7   24   24   17    7    3   13    6    6   17   22    5   19   22    5   12   24   13   10   13   20    8   11   19    5   22   21   21   14    5    9    3   21   24   18   21    8   19    7    9   22    7   16    7    6    3   13   16    5   15   11    3   12   23    6    4    9   19   19   21   15   12    7   21   21    5   20   23    1    1   18   19   23   16   15    8   20    6   10         2.5       1250.0
12 18 17  6  3 19 12 23 12  20  20  17   9   4   3  19   1  18  19  22  14  23   5  17  17   6   2  13   9  15  21  17  14  13   6  14  12  16  16  24   8  24  13   6  12  22  16  13   5  13  10  15   3   2  15   1   6  21   4   9  20   5   8   2  11   7  23  21  10   8  22  16   4  23  11  22  17  16  22  22  14  23  20  13   3  13  12  11  24  14   9  14  13  16  20  11   8  12  20   20   20    1   19    5    2   22   13    9    9   20   22   24   22   23   22    5   20    5   13    2    9    9   23    8   12   17   10    6   21   23    8    5   17   18    5    6    9   24   17   22   22    9   20   14   16   23   19    6   19    7    8   24    1   15   19   23    5   15    1    5    5   17    9    7   23   23    3   18    9    8    7    1    3   18   24    3   13    6   18    7   16   24   15    4    2   13   20   14   18    9    1    4   11   21   16    7    4   20   23   19   10    5    1   22    1    5   14    1   24   12   13   23    2   11    6   12   12   21   22    3   10    6   24    7    1   13   18    8    4   10   16    7    3   13   22   22    5   18    6    8   21    6    8   11    4   17   20   19    7   21   13   23   18   22    5   24   11   17   11   16   13   19    3   20    2   13    6   18   24    1    3   15   16   24   13    5   16    4   17    7   21   12    4    4   12    2   19   20   21    9   18   13    4    6   24   15   19   18    2    5   24    1   18   11   20   19    5   12   21   16    4    3    9    7   12   14   19   22    3   21   18   10    4    8   24   13   24   14    8   17   22    5   24    2    1   16   22   23    2    5    1    5   10    2   15    3   20    7   15   21   14   14   13    1   22   11   14    7    3    7    4   11    4   14   19    3    4   20   17   14   10    1    8   20   14    1   16   13    8   11    3   22    1   20   18   12   10    3    7   23   13    5   21    3   22    6    7   13   23    8   15   10    3    5   21   23   16   14   19    2    3    5    1   20    3    8   19    6   24   22   21   21    9   18   21    8   21   14   17   15   19   21   14    7   24   10    4   21    4   15   12   15   14   13   24   18    7   10    1    6   19   17    2   20   15    6    8   14   17   21   17   17   24   20   13    9    2   16   15    1   13    7    9   17   20   14    9    1   24   17    5   17   14   17    2   18    8    1    6   22   14   21    5    2   15    5    1   11    3    4         2.5       1250.0
10  8 12 12 18  3  3 12 14  19  16  16   1  18  13  14   5   3   8   5  21  21  15   6   8   4   3  14  10  19  13  19  22  11   5  19   8   2  19   5  17  14   8  18   7   1  22   2  10   6  23  24   4  19  17   3  10  17  21  23  13  14  13   4  21  13  12  13  12  17  15  13   2  24  17  10  23   9  13  20   2  18   7  20  13   1  24  18   3   4  15   4  12  17   5   6  15   5   5   24   21    7    8    9   12    2    6    7    6   15   15    5    3   20    3   24   17    6    3    3   17    2   16    4    8   23    7   24    4    1    1    2    6   17   13   11    2    7    8   20   10    2    2    7   19    1    8    3    3   17    4    7   11   19    7   12   20   16   12    8   21   16    7   18   22   18   10   13   14   10   18   24   14   10   19   10   15    2   19   17   11    5   11   10    6   20   15    8    7   23    5   24   22   24   23   14    1   17   10    3   21    6   16   23    4   13   16   13    7    7   20   11    8   23   16    7    9   24   15   24   19   20   18   15   14   16    5   10   21   11    1   17   19   20   12   10   23    8   17    5   22   19   23    7    8   14   23   18   22    7   11    8    4   23   13   11   19    1    5    7    6    6    7   23    3    9   17    9    2    7   15   22   10   17    4   19   22    9   22   10   11   18    8   24   24   15    7   14    7   22   21    3   21    5    2    4    5   24   22   17   17    8   17    4   12   21    4    5    4    5   22    8   11    2   10   22   18    1   24   16    6   14    6   11   19   11   23    7    3   18   11    9   10    6   13   11   11    8    1    8    2    4   13    7    7   12    3    1   11    4    9    5   14   21    9   12    9    5   18   22   23    4   11   22    4    9    7   16    4   10   14    9   12    8    9   14   19   23   18    8   22   10    3    5   15   21    3    4   24   20    1   23   11    7   23    5   12   15    1   16   13   18   20    1   18   21    9   21    3   12    8    1    4   15   20   23    1   13   23   21   15   20    8    3    2   10    2   12   23    1   24    5    6   20    2   18   21   10   12   11    1    4    2    4    6   23    8   12    4   24   21    8   11   18    9   24   23    6    9    1   22   15   13   22    5    4   24   12   20   16    8    2   23    8    5    2   16   22    4   20    9   24    7   18   10   24   15   15   15   19   20    6   15   24    3    8   12   17    7   11         2.5       1250.0
16 19 16 24  7 22 18 17  3   4  17  22   3  16   2  18  12  15  15   7  11  14   3  21  12  18  16   1   6  24   6   9   1   2  12   3   7   5   9  14   9   8   7  17  19   8  10  17  19  11  17  16  16  12  21  11  21  16   1  14   8  20  10   8  14  17   8  23  19   3   5  18  23  19  10  17   2  21   9  12  15   8  12   7  10  18  23   7  14  23  23   3   8  10   1   2  12  10   3    3   10   14   17   11   14    6   21    4   11    9   19    2   18    3   13    9    1   19   17    9   20    8   24   24    1   15   13   12    5    4   19   19    5   10   15    2    3   10    2   23   11   13    8    8   22   11    3   13   15   14   21   11    2   13    2   16   10   18   16    2   14   15   16   16   16    4   17    2   13   21    5    2    5    5   23   24   21   24    4    9   21   19   12   17   11    3   10   15    1   24   18   15   17   17   10    8   14   13   16   14    6    2   14   12   11    6   12   22   16   16   23    2    1    6   11   11   11    7   14   11   20   12    3    9   22    3    3   18    5   22   21   13   18    1   19    7   20    7    5   23   24   18    7   23    3    9    2   15   17   23   24   20   12    6   10   14   17   13   17   11   19    1   21    7    6   21   12   12    4   16    7    2   23    5    6    8   14   12    1    4   23   20    2    5    3   17    4   22   11    2   16   12   20   15    5   21    8    6   15   23    3    9    5   13    8   13    3    6    6    2   16    4   14   18   13   24    9    3    5    3   22    1   13    1   17   14    2   19   24    8    1    2    2    8   18    3   17   17    9   12   13    8    9    5   13   22   19   13    3   12   22   12    1    4   15    7    2    4   14    3   24   13   23    2    6    2   14   10   22   20    3   13   21   19    3   18    5    8    4    7    5    4   11   19   23    4   16   20    5   18   14   15    9   18    1    4   10    8   18    5   19   19   17   20   14   10   11    6    9    7    1   15   20    1   23    6   12   14   21   16    3   24   20   16   10   20    1    4   14   17    6    9   10   14   19   17    2   22   16   18   19    8   23    7    5   22    1   23    2   15   12   22   12   22    1    9    5   21    1   19    6    4   19    3    6    3   10   21    8    4   14    3   16    4   18   19   19    4   18    3   19   10   18   20   15    2    3   22   22    8    5    1    7   21   17    4    5   21    4   14         2.5       1250.0
 8 21 13 15  6  9 22 14 16   9  18   1  23   6  21   6  15  11  11   1  20   1  14   2  23  15   8   3  23  13   8  10  10   9   3  20  14  24   5  12   2  20  21  13  17  23  14  20   2  16   5  22  22  10   4  16  19  22  10  16  12  16  23  13   7  19  21  24  11  19  11   2  24   1  13  16  10  18  23   9   7  10   6  14  11  16   3   4  16  21  21  21  20  14  14  15  14   9  23   11    5   22    6   13   11    8    5    3    1   10   12   11    7    8   11   18   24   15   11   10   12   14    9    6    9   22    5   20   12   10    6   11    9    6   22   19   11   18    5    4    5    1    5    5   21    6   18    5   11    8    3   16   13   22    4    7   23   11    8   17   15   21   13   24   14   17    7   11   10    4   16    4    4    1    6   23   17    4    9   24   24    9   16   18   13    4   24   24    8    4    8   14    1    7   18   23   11   12    6    1   19    8   20    4   14   16   23    7   17   14    6    7    5   19    5    3    1    1   21   10   11    5    5    3   15   20    4    4   20    2   12   12   24   10    1    1   22    4   18    1    7    1   17    3   19    7   14    5    5   18    9   14   19    7   18    2    3    5    7    6    5    7    4   17    9   22    5   10    7   19    6   24   21   18   12   21   18    8    5    2    6    8   16    3   20   19    9   11   24    1   11   23   12   23    7   23   17    8    8   12   12    6   19   16    3   14   16    9    2    8   15    1   20    1    5   20   17    5   20    7    4   18   21    7   22   16   15    1    5   14    4   15   19   11   15   17   18   24   19   24   24   12   16   12    6   24   22    2   14    8    8   23    9   24    5   22    3   19    5    1    7    2   15   13   21   24    5   21   18    5   22   17   22    1    7   19    7   12   10   15   12    6   17    7    3   22   21    8   11   15   18    9   18   19   13   11   18    7    3   11   12    8    8   18   11   14    7    3   16    5   12   13   13   22    2   18    9   10    4   24   20    6   21    8    6   21    8   24   13   12   18   17   18   16   21   22   15   17    9   24   15   16    6   17   11    9   14   16    5    9   11    7   22   24    7   17    2    5   23   16    3   24   12    2    2   19    5   11   19   15   24   13    6   21   24    5   14    7   16   18   12   22    8   11    6    8   10   17   18    4    4   14   13    4    9    1    2   12   24   23         2.5       1250.0
11 13  2 11 15 14  7 11  6   6  10  15  10   8  19  20   9   5  13  23   5   2   6  20   3  19  14   9   5   7  24   6   8   1  10  10  19   1  24  15  18  12  24  16   4  13  20  14  16   9  19  13  18  21  20  10   5  20  13  17   9  17  15  18   3  14   3   6  18  15  18   7  22   9   9  11  16  23  19  21  12   2  18   3   7  22   2  13  20   8  16  19   5  22   4  18  16  22   6    8   18   15   21   14   18   18   12    2   19   16   14   12   21   19   14   13   19   16   14    4    5   24    7   15   19    6   15   11    8   22   17   10   22   23   24   15   20   11    1   19   16   12   10   21    1   13   23   12   20   10    2   18   16   11   16   13   18    2    9    3   13   11   12   19   19    9   18    5   11   22   17    6   17    6    4   16    5   22   12    5    2    1    9   23   16   24   23    6   11   12   21    9    2    5    5   11   15   19   13    9   13   22    5   13   24   24   19   11    5   13   18    5   10    2   15    4   14    2    6   12    6    2    9    4   16    5   20   21   24   18   13    8   12    7    4   11   16   16   15   19   10   12   14    8    1    8    3   14   19   15   12   10   14   17    9   20   15   12   24   17    2    2   11   21    5    5   14   11   20   23   19    4    4   16   15   23    1   11   15   13   22    4    7   14   10    1   18   21   14   23    9   11    3   12   19   16    9    2    9   22    2   11   23    9    1    7   19   23    5    7   20   20   12   14   17    5    8   14   23    6   16   12   15   23    9   17   12    9   11   23    6   16   20   16   23   19   19   15    6   15   17    1   15   15   10   17   10    3    4   22    4    7    7   15   16    4    8   21   20   21   22   19   20   11    3    4   19    6   19   19   20    3   16   13   11   12   15   10   21    5    7   19    2   22   20    5    5   13    1    8    6   19   20   12   16   10   21   22   22    9   10   17   16    6   17    6   14    2    2   17   17    7    6   17   15   17   22   16   10   17    6   14   19    5   22    1    7   21    7   13   23    4    8   11   23    8   20   13   23    3    2   22    7    1   10    3    2    6    6    3   15   20   16   14   10   14    9    1   14    2   12    5    9    9    3   16   23    8   14   12    3   18    1   11   16    9   24   20   13   23    4   21    3    4   19   11   12   10   12   10   24   24   12    6    7   21   19   23   12    3         2.5       1250.0
13 23 24  2 17  8 24  2 21  11   3   5   5   1   5  12   8  19   7  16   7  24  12  15  20   3  10  12  14   3   1   1  23  23  18   6  11   6  12  10   4   9   5   8  16  10   8  15   8  17   4  11   8   9   1  14   3   7  24  20  15  19   1   3   8  12  18   3  20   1  20  17   3   2  15   6  15  17  16   8  11  15  14   5  24  10  17  21   4   1  18  17   4   9  13   8  19  18   1   18    7   24   11    8   13    9   14   23   18    7   20   16    2   21    1    1    7    1    2    6   16   10    8   11    7    9   17   18   10   14   21   21   20   24   23   16   17    3   10   17   12   20   19   23   20   21    9   14   16   20   20   13   10    5   23   19   12   24   15   10    7    8   24   15    9   13    1   20   20   11   19    5   19   20   15    5   11    9    7   21   12    8   17    1   20   15   21    1   17   20   13   13   16    6   20   22   16   22   20   10   11   19   11    6   20   20   24    5   21   23    1   22   19    9   18   14   23   17    2    4   23   16   16   14    7   15   14   16   17    6    9    1    9   19   14    2   10    2   22   11    8   17   11   14   15   18   12   10    4    5   19   16    6   18   22   15    4   10   13   18   24   12   18   10   16    3   16   23    3    6   11    6    8    4    7   14   21   23   21    8   14    7   13   21    7    9   11    1    8   17   14    2   16   18   13    8   13    9    3    7   10    7   20    7   21    1   21    7   18   22   14   18   21    3   14   12   24   12   17   20   17   13   16   14    2    9   17    6    4    1    9   21    9   12   12   24   21    2   24   11    6   19   24    3    5    5    2    5    6   19    2   11   24   10   14    6   24   20    4   18    1   18    7    4   10   15    2   17    3   22    9    2   10   23    8   16   14    1   24   19   15   18   13   11    8   14   20   21   22    9   10   12   15   11    3   12    2   19    8   17   21   20   19   13    1    4   20    5    7   24   11    4   14   23   10    3   11   18    6   10   10    5   23    6   11   23   22   10   10   14    8    3    9    4   18   20   24   14   22    9   14   19   10    2    4   12   12   13   20   12   16   19   20    2   19   11   24   19    2    4   10   10   23   18   10   23    1   10   13   17   16    1    4    5   11   23   15   18   20   22   15    4   20    5   20   10    9   11    4   14   19   15    1   13   21   11   18    7    1    5         2.5       1250.0
23  4 15 22 12 10  8 19  7  17  14   9  12  12   7   3  14  21  21   3   3  18  21  13   9  14   7  20   8  16   7  12  13   3   8  15   6  19   4   9  10  16  15  22  15  20  19   3  11   4  11  21   5  16  16  21  24   5  14  15  10   7  12  22  20   9  15   1   8  14   4   6   9   6  14  23   1   8   4  19   6  13  21   1  12   7   1  23  11  24   5  11  15   6  19  22   9  11  14    2   23    6    2   16   21   15   23   21   15    3   21   13   19   22    7   16    9   13    4    1    3   16    3   17   21    3    3    9   20    8   14   22   24    8    6   24    5   22   16   24   19    4    9   10    9   10    6    7   21    6    1   10   23    3   11    4    9    9   19   13   11    7   10   17   21   12   20   15    3    6   20    3    2   19   16   12   12   14    5   22    1   16    7   24   10   17   12   22    2    5   22    8   14   14   15   12   24    7   19   17    4   21   21   15   17   22   18   24   23    1   11   19    3   13   10    2   24   23   13    1   21   21    4   21    8   17    1    1   13    5    8   10   11   18   18   21   18    6    1   20    6    2   24   19    5   11   21   24   10    3   21   15   10    2    4   18   20   18   16   10   11    8   20    6   13    4   24   13   23    5   20   14   13    3    5   20    2    2   11   23   19   17   23   23   17    5   22   17    2   14   17   24   23   16   12   10   23    3    5   13   20   20    3    2   18   15   22   18    3   13   24    6    4    4    4    7   12    7   19    4   13   11    3    4   21   15    7    5   16    7   10    7   22    4   10    8    6   11   20   14   14    6   17   21    1   23   12   23   23   17    5   20   19   20   10    1    6    2    1    8   18   17   12    7   12   16   20   14   20   16    5   16   17    3   10   22   10   18   17   20   23    9    4    9   14   17   13   17    2    2   16    2   24    1   21   16    8   17   12   20   14   15    7   19   19   13   21   10   17   11   19   17   24    2   17    1   17    8    7   14   24    3    7   14   24   11   14   20   16    8    9   24   23   13    5   21    1   16   20    8   10   17   12   10   20    4   15    2   18   18   13   24    7   16    4    2    7   22    5   11   20   21   14   23   21   14   11   15   17    3   19   17   12    1    2   12   22   12   17    1   22    5    9    3   24   14   11   13    8   13   12    8   18    8   20    2   23   16   23   19         2.5       1250.0
 1 15 11 14 19  7  5 15 19  18   2   3  15   5  15  15   3  23  10   9   1  11  23  19  11  22   9  10  19   1  18  11  11  10   2  17  18  15   8  22  19  13  23   2  11  21   4  10  13  23  18   6   7   3  14  20   9  18   3  24  18  22  18  20   5   2   2   2  16   5   9  12   1  17   8   1  22   2  14   3   8   5  10  23  21   2  21   2  23  22  20   8   2   3   7   4  17   6   8   21    3   18   13   22   19   10   11   14   17    1   17   14    4    1   18   10   22    2   22   16    2   23   21   22   14   16   20    2   15    3    3    7    1    1   10    8   13   20   18   18    9    6   16   15    5    3   20   17   24   11   17   22   12    8   17   20    8   22   21   11   19   13    3    8   17   19   19   14    7    5   11   21   18   23    7   21    1   17    8    4    4   12   22    9   21   16    1    3    6   10   11   21   21    3    9   10   19   14   15   11   15    3   18    9   15    8   17   23    2   24    4    1    6    4   23   18    5   15   19   17   15    4    8    5   18    8   15   13   14   21    5   21   21   24   16    8    2   11    2   12   23    9   18   22   23   12   22   21   11    2   14    7   16   12    7    9    8    2   22   12   21   22   24    9    4   14   15    2    5   24    8   12   22    7   10   16   20   24    8    5   12   11   14   15    2   14   20   13    1   21   19   14    5    7   10    1   15   11   19    4    6   13    7   14    5   17    8   19   23   21    1   15   17   13   18   23   16   20    2   13    2    6   19   20    3   12    8    4    7   13   24   17    1    5    3   12   13    4    5   23   20   15    3   24   14   19   13    9   24   23   15   19   17   17    8   10   21    3    7   24   19    6   16   21    9   14   18   15   21   13   21    6   14    7   20    9    4   24    3    3    2    8   20    2   12   16   17   19   13    6   15   22   16   21    6   15   11   23    6    2   20   16    9    9    5    5   15   11   21   19   10   10   16    5   16    5   16   21    2   15   17   22   17   22   13    3    6    8   21    4   10    7    2    5   14    6    3   19    3    7   22   12   11   23   21    6    6    9    8   11    8    1    5    4   14   21   22    3   12    9   19   23   10   15   19   21   18    1   23    9   18   24   20   23   12   17   17    5    8    2    2   18   19   23   17   19   17   23    9   17   15   22   14   19   13    9   17    3   18    8         2.5       1250.0
