 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  Valor_Jogo  Valor_Jogos
19 17 24 11 17 24 13 14 21  20  23   2  18  13  13   6   2   4  12  11  17  15  13  22   9  24  11  19  21   4  17  15  10   5  20  23   4  20   8  13  21  12   3   4  10  20   2  23   9   9  10  23  14  12  24   5  11  22  18  11   8  14   3   8  21  12   5  23   3  23  22  22   9  17  11  10   3  10   3  24  16  17  19  14  18  22  20   4   9  13  18  18  22   4  21  24   7  12  10   15         2.5        250.0
 1  6 19 17 15 22  5  3 22   1   7  16  17  12  12   9  21  24   9  10   9  10  10  13  23   4  16   1  13  21  23  12  16  24  11  24   7  19  11  14  22  19  21   9  19  23  18   6  21  14  22   4  17   6  19   1  12   2   9  21  15  10  13   2   7  19  17  22   2  14   8   6   3   7  13  21  16   5  15   2  14  13  24  21  19  15  22  22   8   6   9   9   5  20   7   7   1   3  17   12         2.5        250.0
17  5  6  9 21 20 15 12 11   5  17  10  12  16  19   3  16  18  22  17  13  13  21  24  19  11   7  21  16  11  15   5  11  14   4  16  22  12  22  21   3   4  13  13   1  15   8  17   6  17   1  15  18  16  16  17   3  20  21   1   6  12  22  14  22   7   1  17  14   5   9   2   1  11  23   3  13  12   8  16  22   3  17  16   5   1   8   7  14  12  17  24  15   5  10  11   4   7  19   17         2.5        250.0
14 21  4 12  8  2  6 20 12  17  21  22   5   9   8  21   6   5   4  20   8  18  19  20   1  22  18   5   3  24  24   6   3   2  16  17  13   6  15  20  17  21  16  15  17   6  23  21   7   8   6  17   7  15   8  13   2  18   8  13  14  18   5  16  18  22  12   1   6   3  21   5  22  15  14  13   9   1   6  17   6  18  16   7  15   6  14  23  18  22  13  14  10   1   4   5  14   9  23    5         2.5        250.0
 8  1  5  6  5 14 24  2 16  12   8   1   6  24   6  24   5  20  16   7  11   9  15   5  22  23  17   9  14   6   1   2   9  15   9  14   1   5   4  19  12  10   1  16  12  19  21   7   8   4   9  19  15   1  12   9  21  23  16  22   5  16  11  19  17   9  19   2   8  11   2   4   7   6  20   8  17  23  14   5  12  19  22   4  13  23   2  18  22  24   7  20  21  16   9  18  24  13  22   19         2.5        250.0
 6 11  1 13  3  7 19 24  9   7  13  12   9  10  10  13  15   9  14  16  18  20  24   7  17  18   9   2   4   5  21   7   2  16   3   8  10   8  18  17   4  11  20   7  11  18  11  19  13  10  18  22  11   8   2  23  17   7   4  15  11   3  18  20   9   2  11   9  19  10  11  21  10  14  16   6   1  15  12  14   4   9   1   8   3   4   6  20   4  21  10  19   2  24   2  10  19   1   7   20         2.5        250.0
15 15 17 20  6 13  4 17 10  10  20  24  16  14   3   1  22  17  13  12   4   7  17   6  18   3  22  20  18  16   2   9   7  18  14  13  17   4  23  11   1  15  10  20   8  24   7  11   3   5  13  13   4   7  15  24   9  14  22   5  22  23   7  12  24  15  13  12   9   2   5  10  21   9  21  22  21   3   7  10  13  14  20   9  20  17   3   2  20  10  14  17   4  18  19  12  21  17  12    2         2.5        250.0
23  2  7  8 14  3 20 16 24   2   1  23   1  18   7   2  17   2  20   4  24  21   1   2  16  14  15  13   6  14  14   4   1   4  19   3   2  24   6  16  18  18   7  12  21   2  19   2  11  13  21   6  12  23  11   3   8  21   3  16  18   7  19   6   4  17   9  19  13   9  14  12  17  18   1  15   6  16   2  20  15  15  11   5   2  20  12  12   7  19  19  22  14  14  12   6   2  16  20   11         2.5        250.0
 9 13 11  3 13  8 10  7 14  18  15  19   3   4   4  12  10  19   2   8   3   5  14  18  12  17  24   8  22  15  12   8  15  23   6   9  15  17   1  22  14   8   2  17   4  21   4  16  15  21   4  18   9  10   9  22  13   6   7   8   3   1   8   7  10   4  16  11  12   4   6   8   6   5  22  14  18  11  17  23  21  11  14   3  23   8  18   8  21   5   2  11  17  11  16   8  13  24  21   22         2.5        250.0
11 24 15  1 23 12 12 13 18   6   4   8  21   7  22   8  20   1  15  14  10  14  22   4   6  21   3  17  11   2   4  14  23  11  23  22  19  21  10   2   5   7  18   1  20   7  12  22  23   3  16  10  22  13   1  12  14  24  13   2   9   8  21   3   8   1  14  15  10   1  15  14   2   4   7  11  10  24  22   9  20  23   4  12   1  12  23   3   3  15   8  21  18   9  18   1   9   2   9   23         2.5        250.0
